BusinessEntityID,Title,FirstName,MiddleName,LastName,Suffix,Shift,Department,GroupName,StartDate,EndDate
128,,Paul,B,Komosinski,,Night,Production,Manufacturing,2003-01-05,
129,,Gary,W,Yukish,,Night,Production,Manufacturing,2003-01-23,
130,,Rob,T,Caron,,Night,Production,Manufacturing,2003-03-17,
131,,Baris,F,Cetinok,,Night,Production,Manufacturing,2003-03-19,
132,,Nicole,B,Holliday,,Night,Production,Manufacturing,2003-03-26,
133,,Michael,L,Rothkugel,,Night,Production,Manufacturing,2003-02-11,
134,,Eric,,Gubbels,,Day,Production,Manufacturing,2003-02-15,
135,,Ivo,William,Salmre,,Day,Production,Manufacturing,2003-01-05,
136,,Sylvester,A,Valdez,,Day,Production,Manufacturing,2004-01-12,
137,,Anibal,T,Sousa,,Day,Production,Manufacturing,2003-03-27,
138,,Samantha,H,Smith,,Day,Production,Manufacturing,2003-03-08,
139,Mr.,Hung-Fu,T,Ting,,Day,Production,Manufacturing,2004-02-07,
140,,Prasanna,E,Samarawickrama,,Day,Production,Manufacturing,2004-02-23,
141,,Min,G,Su,,Day,Production,Manufacturing,2004-02-25,
142,,Olinda,C,Turner,,Day,Production,Manufacturing,2004-04-04,
143,,Krishna,,Sunkammurali,,Day,Production,Manufacturing,2004-03-16,
144,,Paul,R,Singh,,Day,Production,Manufacturing,2003-02-18,
145,,Cynthia,S,Randall,,Evening,Production,Manufacturing,2003-02-28,
146,,Jian Shuo,,Wang,,Evening,Production,Manufacturing,2003-01-08,
147,,Sandra,,Reátegui Alayo,,Evening,Production,Manufacturing,2003-01-27,
148,,Jason,M,Watters,,Evening,Production,Manufacturing,2003-02-15,
149,,Andy,M,Ruth,,Evening,Production,Manufacturing,2003-03-04,
150,,Michael,T,Vanderhyde,,Evening,Production,Manufacturing,2003-03-30,
151,,Rostislav,E,Shabalin,,Evening,Production,Manufacturing,2003-03-23,
152,,Yuhong,L,Li,,Evening,Production,Manufacturing,2003-03-05,
153,,Hanying,P,Feng,,Evening,Production,Manufacturing,2003-01-17,
154,,Raymond,K,Sam,,Evening,Production,Manufacturing,2003-01-24,
155,,Fadi,K,Fakhouri,,Evening,Production,Manufacturing,2003-02-05,
156,,Lane,M,Sacksteder,,Evening,Production,Manufacturing,2003-02-12,
157,,Linda,A,Randall,,Evening,Production,Manufacturing,2003-03-07,
158,,Shelley,N,Dyck,,Evening,Production,Manufacturing,2003-04-08,
159,,Terrence,W,Earls,,Evening,Production,Manufacturing,2003-03-20,
160,,Jeff,V,Hay,,Day,Production,Manufacturing,2003-02-22,
161,,Kirk,J,Koenigsbauer,,Day,Production,Manufacturing,2003-01-16,
162,,Laura,C,Steele,,Day,Production,Manufacturing,2003-02-04,
163,,Alex,M,Nayberg,,Day,Production,Manufacturing,2003-03-12,
164,,Andrew,M,Cencini,,Day,Production,Manufacturing,2003-04-07,
165,,Chris,T,Preston,,Day,Production,Manufacturing,2003-02-23,
166,,Jack,S,Richins,,Day,Production,Manufacturing,2003-03-25,
167,,David,N,Johnson,,Day,Production,Manufacturing,2003-01-03,
168,,Garrett,R,Young,,Day,Production,Manufacturing,2003-01-08,
169,,Susan,A,Metters,,Day,Production,Manufacturing,2003-01-15,
170,,George,Z,Li,,Day,Production,Manufacturing,2003-01-22,
171,,David,A,Yalovsky,,Day,Production,Manufacturing,2003-02-03,
172,,Marc,J,Ingle,,Day,Production,Manufacturing,2003-02-17,
173,,Eugene,R,Zabokritski,,Day,Production,Manufacturing,2003-02-22,
174,,Benjamin,R,Martin,,Day,Production,Manufacturing,2003-02-28,
175,,Reed,T,Koch,,Day,Production,Manufacturing,2003-03-06,
176,,David,Oliver,Lawrence,,Day,Production,Manufacturing,2003-03-18,
177,,Russell,M,King,,Day,Production,Manufacturing,2003-03-25,
178,,John,N,Frum,,Day,Production,Manufacturing,2003-04-04,
179,,Jan,S,Miksovsky,,Day,Production,Manufacturing,2003-04-06,
180,,Katie,L,McAskill-White,,Night,Production,Manufacturing,2003-03-24,
181,,Michael,T,Hines,,Night,Production,Manufacturing,2003-01-10,
182,,Nitin,S,Mirchandani,,Night,Production,Manufacturing,2003-01-29,
183,,Barbara,S,Decker,,Night,Production,Manufacturing,2003-02-23,
184,,John,Y,Chen,,Night,Production,Manufacturing,2003-03-13,
185,,Stefen,A,Hesse,,Night,Production,Manufacturing,2003-04-01,
186,,Shane,S,Kim,,Evening,Production,Manufacturing,2003-03-12,
187,,Yvonne,S,McKay,,Evening,Production,Manufacturing,2003-01-10,
188,,Douglas,B,Hite,,Evening,Production,Manufacturing,2003-01-28,
189,,Janeth,M,Esteves,,Evening,Production,Manufacturing,2003-02-16,
190,,Robert,J,Rounthwaite,,Evening,Production,Manufacturing,2003-03-06,
191,,Lionel,C,Penuchot,,Evening,Production,Manufacturing,2003-03-30,
192,,Brenda,M,Diaz,,Day,Production,Manufacturing,2003-04-06,
193,,Alejandro,E,McGuel,,Day,Production,Manufacturing,2003-01-07,
194,,Fred,T,Northup,,Day,Production,Manufacturing,2003-01-13,
195,,Kevin,H,Liu,,Day,Production,Manufacturing,2003-01-18,
196,,Shammi,G,Mohamed,,Day,Production,Manufacturing,2003-01-25,
197,,Rajesh,M,Patel,,Day,Production,Manufacturing,2003-02-01,
198,,Lorraine,O,Nay,,Day,Production,Manufacturing,2003-02-05,
199,,Paula,R,Nartker,,Day,Production,Manufacturing,2003-02-13,
200,,Frank,T,Lee,,Day,Production,Manufacturing,2003-02-18,
201,,Brian,T,Lloyd,,Day,Production,Manufacturing,2003-03-02,
202,,Tawana,G,Nusbaum,,Day,Production,Manufacturing,2003-03-09,
203,,Ken,L,Myer,,Day,Production,Manufacturing,2003-03-28,
204,,Gabe,B,Mares,,Day,Production,Manufacturing,2003-04-09,
205,,Lori,A,Kane,,Night,Production,Manufacturing,2003-03-30,
206,,Stuart,V,Munson,,Night,Production,Manufacturing,2003-01-03,
207,,Greg,F,Alderson,,Night,Production,Manufacturing,2003-01-03,
208,,Scott,R,Gode,,Night,Production,Manufacturing,2003-02-09,
209,,Kathie,E,Flood,,Night,Production,Manufacturing,2003-02-28,
210,,Belinda,M,Newman,,Night,Production,Manufacturing,2003-03-24,
211,,Hazem,E,Abolrous,,Day,Quality Assurance,Quality Assurance,2003-04-01,
212,,Peng,J,Wu,,Day,Quality Assurance,Quality Assurance,2003-01-10,
213,,Sootha,T,Charncherngkha,,Night,Quality Assurance,Quality Assurance,2004-03-26,
214,,Andreas,T,Berglund,,Evening,Quality Assurance,Quality Assurance,2003-03-06,
215,,Mark,L,Harrington,,Day,Quality Assurance,Quality Assurance,2003-02-16,
216,,Sean,P,Alexander,,Day,Quality Assurance,Quality Assurance,2003-01-29,
217,,Zainal,T,Arifin,,Day,Document Control,Quality Assurance,2003-02-05,
218,,Tengiz,N,Kharatishvili,,Night,Document Control,Quality Assurance,2003-01-17,
219,,Sean,N,Chai,,Day,Document Control,Quality Assurance,2003-02-23,
220,,Karen,R,Berge,,Day,Document Control,Quality Assurance,2003-03-13,
221,,Chris,K,Norred,,Evening,Document Control,Quality Assurance,2003-04-07,
222,,A. Scott,,Wright,,Day,Production Control,Manufacturing,2003-01-13,
223,,Sairaj,L,Uddin,,Day,Production Control,Manufacturing,2003-02-27,
224,,William,S,Vong,,Day,Production,Manufacturing,2003-02-08,2005-10-01
224,,William,S,Vong,,Day,Production Control,Manufacturing,2005-10-02,
225,,Alan,J,Brewer,,Evening,Production Control,Manufacturing,2003-03-17,
226,,Brian,P,LaMee,,Night,Production Control,Manufacturing,2003-04-04,
227,,Gary,E.,Altman,III,Day,Facilities and Maintenance,Executive General and Administration,2004-01-03,
228,,Christian,E,Kleinerman,,Day,Facilities and Maintenance,Executive General and Administration,2003-01-15,
229,,Lori,K,Penor,,Night,Facilities and Maintenance,Executive General and Administration,2004-03-19,
230,,Stuart,J,Macrae,,Evening,Facilities and Maintenance,Executive General and Administration,2004-04-05,
231,,Jo,L,Berry,,Night,Facilities and Maintenance,Executive General and Administration,2004-04-07,
232,,Pat,H,Coleman,,Evening,Facilities and Maintenance,Executive General and Administration,2004-02-28,
233,,Magnus,E,Hedlund,,Day,Facilities and Maintenance,Executive General and Administration,2004-01-22,
234,,Laura,F,Norman,,Day,Finance,Executive General and Administration,2003-03-04,2007-12-15
234,,Laura,F,Norman,,Day,Executive,Executive General and Administration,2007-12-16,
235,,Paula,M,Barreto de Mattos,,Day,Human Resources,Executive General and Administration,2003-01-07,
236,,Grant,N,Culbertson,,Day,Human Resources,Executive General and Administration,2003-03-29,
237,,Hao,O,Chen,,Day,Human Resources,Executive General and Administration,2003-03-10,
238,,Vidur,X,Luthra,,Day,Human Resources,Executive General and Administration,2003-02-02,
239,,Mindy,C,Martin,,Day,Human Resources,Executive General and Administration,2003-01-26,
240,,Willis,T,Johnson,,Day,Human Resources,Executive General and Administration,2003-01-14,
241,,David,J,Liu,,Day,Finance,Executive General and Administration,2003-03-03,
242,,Deborah,E,Poe,,Day,Finance,Executive General and Administration,2003-01-19,
243,,Candy,L,Spoon,,Day,Finance,Executive General and Administration,2003-02-07,
244,,Bryan,A,Walton,,Day,Finance,Executive General and Administration,2003-02-25,
245,,Barbara,C,Moreland,,Day,Finance,Executive General and Administration,2003-03-22,
246,,Dragan,K,Tomic,,Day,Finance,Executive General and Administration,2003-03-15,
247,,Janet,L,Sheperdigian,,Day,Finance,Executive General and Administration,2003-04-02,
248,,Mike,K,Seamans,,Day,Finance,Executive General and Administration,2003-04-09,
249,,Wendy,Beth,Kahn,,Day,Finance,Executive General and Administration,2003-01-26,
250,,Sheela,H,Word,,Day,Marketing,Sales and Marketing,2005-03-28,2005-08-30
250,,Sheela,H,Word,,Day,Quality Assurance,Quality Assurance,2005-08-31,2006-08-15
250,,Sheela,H,Word,,Day,Purchasing,Inventory Management,2006-08-16,
251,,Mikael,Q,Sandberg,,Day,Purchasing,Inventory Management,2003-03-14,
252,,Arvind,B,Rao,,Day,Purchasing,Inventory Management,2003-04-01,
253,,Linda,P,Meisner,,Day,Purchasing,Inventory Management,2004-01-18,
254,,Fukiko,J,Ogisu,,Day,Purchasing,Inventory Management,2004-02-05,
255,,Gordon,L,Hee,,Day,Purchasing,Inventory Management,2004-02-12,
256,,Frank,S,Pellow,,Day,Purchasing,Inventory Management,2004-02-24,
257,,Eric,S,Kurjan,,Day,Purchasing,Inventory Management,2004-02-28,
258,,Erin,M,Hagens,,Day,Purchasing,Inventory Management,2004-03-03,
259,,Ben,T,Miller,,Day,Purchasing,Inventory Management,2004-04-09,
260,,Annette,L,Hill,,Day,Purchasing,Inventory Management,2005-01-06,
261,,Reinout,N,Hillmann,,Day,Purchasing,Inventory Management,2005-01-25,
262,,David,M,Barber,,Day,Finance,Executive General and Administration,2003-02-13,
263,,Jean,E,Trenary,,Day,Information Services,Executive General and Administration,2003-01-12,
264,,Stephanie,A,Conroy,,Day,Information Services,Executive General and Administration,2003-03-08,
265,,Ashvini,R,Sharma,,Evening,Information Services,Executive General and Administration,2003-01-05,
266,,Peter,I,Connelly,,Day,Information Services,Executive General and Administration,2003-03-27,
267,,Karen,A,Berg,,Day,Information Services,Executive General and Administration,2003-03-20,
268,,Ramesh,V,Meyyappan,,Day,Information Services,Executive General and Administration,2003-03-07,
269,,Dan,K,Bacon,Jr.,Day,Information Services,Executive General and Administration,2003-02-12,
270,,François,P,Ajenstat,,Day,Information Services,Executive General and Administration,2003-02-18,
271,,Dan,B,Wilson,,Day,Information Services,Executive General and Administration,2003-02-23,
272,,Janaina,Barreiro Gambaro,Bueno,,Day,Information Services,Executive General and Administration,2003-01-24,
273,Mr.,Brian,S,Welcker,,Day,Sales,Sales and Marketing,2005-03-18,
274,,Stephen,Y,Jiang,,Day,Sales,Sales and Marketing,2005-02-04,
275,,Michael,G,Blythe,,Day,Sales,Sales and Marketing,2005-07-01,
276,,Linda,C,Mitchell,,Day,Sales,Sales and Marketing,2005-07-01,
277,,Jillian,,Carson,,Day,Sales,Sales and Marketing,2005-07-01,
278,,Garrett,R,Vargas,,Day,Sales,Sales and Marketing,2005-07-01,
279,,Tsvi,Michael,Reiter,,Day,Sales,Sales and Marketing,2005-07-01,
280,,Pamela,O,Ansman-Wolfe,,Day,Sales,Sales and Marketing,2005-07-01,
281,,Shu,K,Ito,,Day,Sales,Sales and Marketing,2005-07-01,
282,,José,Edvaldo,Saraiva,,Day,Sales,Sales and Marketing,2005-07-01,
283,,David,R,Campbell,,Day,Sales,Sales and Marketing,2005-07-01,
284,Mr.,Tete,A,Mensa-Annan,,Day,Sales,Sales and Marketing,2006-11-01,
285,Mr.,Syed,E,Abbas,,Day,Sales,Sales and Marketing,2007-04-15,
286,,Lynn,N,Tsoflias,,Day,Sales,Sales and Marketing,2007-07-01,
287,,Amy,E,Alberts,,Day,Sales,Sales and Marketing,2006-05-18,
288,,Rachel,B,Valdez,,Day,Sales,Sales and Marketing,2007-07-01,
289,,Jae,B,Pak,,Day,Sales,Sales and Marketing,2006-07-01,
290,,Ranjit,R,Varkey Chudukatil,,Day,Sales,Sales and Marketing,2006-07-01,
